name,id,origin date,status,type,street,city,state,zip
"1ST COMMAND DOG TRAINING AND GROOMING, LLC",0743194,2003-03-18,Active,Domestic Limited Liability Company,18 SAN RICO DRIVE,MANCHESTER,CT,06040
1ST COMMAND DOG TRAINING & GROOMING,1016320,2010-09-24,Active,General Partnership,18 SANRICO DR.,MANCHESTER,CT,06040
"3 DOG DESIGN, LLC",0797730,2004-09-30,Active,Domestic Limited Liability Company,121 FERRIS HILL ROAD,NEW CANAAN,CT,06840
"3 DOGS PAINTING, LLC",1206514,2016-05-09,Active,Domestic Limited Liability Company,"781 BOSTON POST RD, UNIT 844",MADISON,CT,06443
4 DOG CONSTRUCTION LLC,1117672,2013-09-12,Active,Domestic Limited Liability Company,24 EAST AVE STE 142,NEW CANAAN,CT,06840
"ABC OBEDIENCE DOG TRAINING & PET SUPPLIES, LLC",0703234,2002-01-25,Active,Domestic Limited Liability Company,"2458 BOSTON POST ROAD, ABC OBEDIENCE",GUILFORD,CT,06437
ACTIVE DOG LLC,1106032,2013-05-06,Active,Domestic Limited Liability Company,15 WEDDINGTON LANE,WESTON,CT,06883
"ADDICUS LEGACY DOG RESCUE, INC.",1211434,2016-06-30,Active,Corporation,,,,
"A DOG'S LIFE, LLC",0940153,2008-08-14,Active,Domestic Limited Liability Company,23 CARRIAGE DRIVE,OXFORD,CT,06478
"A DOG'S WORLD, LLC",1180827,2015-07-13,Active,Domestic Limited Liability Company,396 SALEM TPKE.,BOZRAH,CT,06334
"ADOPT - A - DOG, INC.",0122795,1981-09-25,Active,Corporation,23 COX AVENUE,ARMONK,NY,10504
"ADVANCED DOG BEHAVIOR SOLUTIONS, LLC",0965865,2009-03-12,Active,Domestic Limited Liability Company,132 COMPO ROAD SOUTH,WESTPORT,CT,06880
A HAIR OF THE DOG LLC,1027939,2011-02-07,Active,Domestic Limited Liability Company,51 WHITFIELD STREET,GUILFORD,CT,06347
AIMEE'S HAIR OF THE DOG LLC,0773764,2004-02-04,Active,Domestic Limited Liability Company,51 WHITFIELD ST,GUILFORD,CT,
A J HOT DOG LLC,1165485,2015-01-08,Active,Domestic Limited Liability Company,115 FRENCH RD,BOLTON,CT,06043
"ALERT DOGS FOR LIFE, INC.",1091931,2012-12-13,Active,Corporation,240 FAIR OAK DR.,FAIRFIELD,CT,06824
ALL ABOUT THE DOGS LLC,1202858,2016-04-11,Active,Domestic Limited Liability Company,88 POST ROAD,FAIRFIELD,CT,06824
ALL DOGGED OUT LLC,0958931,2009-01-02,Active,Domestic Limited Liability Company,699 BLOOMFIELD AVE,BLOOMFIELD,CT,06002
"ALPHA DOG DESIGN, LLC",1099353,2013-03-11,Active,Domestic Limited Liability Company,577 BERKSHIRE RD,SOUTHBURY,CT,06488
"AL'S HOT DOG STAND, LLC",0618058,1999-04-07,Active,Domestic Limited Liability Company,248 S. MAIN STREET,NAUGATUCK,CT,06770
"A MAN AND HIS DOG, LLC",1121569,2013-10-18,Active,Domestic Limited Liability Company,4 CHARTER OAK LANE,GREENWICH,CT,06830
"AMERICAN HUNTING DOG CLUB, INC. THE",0286100,1993-05-07,Active,Corporation,16 VIRGINIA RAIL DR,MARLBOROUGH,CT,06447
"ANTHONY'S NEW YORK HOT DOGS & MORE, INC.",1062010,2012-02-08,Active,Corporation,11 MOUNT TOM RD,NEW ROCHELLE,NY,10805
"APPLE DOG IMPORTS, LLC",0698653,2001-12-11,Active,Domestic Limited Liability Company,"90 MAIN ST., SUITE 201",CENTERBROOK,CT,06409
AROOOO! DOG TRAINING LLC,1066460,2012-03-26,Active,Domestic Limited Liability Company,26 ORCHARD HEIGHTS DRIVE,HAMDEN,CT,06514
ASSISTANCE DOGS UNLIMITED INC.,0677631,2001-03-30,Active,Corporation,10 ANDOVER DRIVE,ROCKY HILL,CT,06067
"A TOTAL LOOK BY TOTAL DOG, LLC",1151124,2014-08-05,Active,Domestic Limited Liability Company,12 PLEASANT ST,DARIEN,CT,06820
"AVON ADVOCATES FOR DOGS, INC.",0677913,2001-04-03,Active,Corporation,"C/O CAROLYN STIGLER, 182 WOODFORD HILLS DRIVE",AVON,CT,06001
"AWESOME DOG TRAINING, LLC",1184335,2015-08-25,Active,Domestic Limited Liability Company,27 OLD TURNPIKE,BROOKFIELD,CT,06804
"BADD DOGS, INC.",0991908,2010-01-04,Active,Corporation,142 COTTAGE STREET,TRUMBULL,CT,06611
BAD DOG BUILDERS LLC,1050216,2011-10-04,Active,Domestic Limited Liability Company,116 CANDLEWOOD LAKE ROAD NORTH,NEW MILFORD,CT,06776
"BAD DOG PROPERTIES, LLC",1158476,2014-10-20,Active,Domestic Limited Liability Company,"1340 SULLIVAN AVENUE, UNIT A",SOUTH WINDSOR,CT,06074
BAD DOGS LLC,0738522,2003-01-31,Active,Domestic Limited Liability Company,120 GOODWIN PLACE,STRATFORD,CT,06615
"BAD DOG STABLES, LLC",0785021,2004-05-19,Active,Domestic Limited Liability Company,34 SOUTH RD,LITCHFIELD,CT,06759
"BAD DOGS TOO, LLC",1211191,2016-07-14,Active,Domestic Limited Liability Company,"157 CHURCH ST., 12TH FL.",NEW HAVEN,CT,06510
BAILEY DOG LLC,1161121,2014-12-02,Active,Domestic Limited Liability Company,3001 FAIRFIELD AVE.,BRIDGEPORT,CT,06605
"BANANA DOG WINES & SPIRITS, LLC",0690335,2001-09-04,Active,Domestic Limited Liability Company,"8 MATTHEWS DRIVE, PO BOX 82",EAST HADDAM,CT,06423
BANDILANE SCHOOL FOR DOGS INC.,0534113,1996-04-04,Active,Corporation,80 LARGO DRIVE,STAMFORD,CT,06907
"BARK AVENUE DOG SALON, LLC",0959990,2009-01-13,Active,Domestic Limited Liability Company,"53 EAST INDUSTRIAL ROAD, UNIT A-5",BRANFORD,CT,06405
BARKING DOG DESIGN LLC,0618306,1999-04-12,Active,Domestic Limited Liability Company,58 NORTH BROOK STREET,HAMPTON,CT,06247
"BARKING DOG GUITAR TRADERS, LLC",0926503,2008-01-31,Active,Domestic Limited Liability Company,88 PARK AVE.,NAUGATUCK,CT,06770
BC BULL DOG II LLC,0898606,2007-05-07,Active,Domestic Limited Liability Company,"333 LUDLOW STREET, NORTH TOWER",STAMFORD,CT,06902
"B-DOG'S, LLC",1077401,2012-07-11,Active,Domestic Limited Liability Company,23 WILDCAT RD,BURLINGTON,CT,06013
"BEACH HOUSE DOG, LLC",1179438,2015-06-23,Active,Domestic Limited Liability Company,47 SPORTSMAN HILL ROAD,MADISON,CT,06443
"BECCA'S DOG GROOMING, LLC",1006689,2010-06-04,Active,Domestic Limited Liability Company,"1089 BOSTON POST ROAD, REAR",DARIEN,CT,06820
"BEHAVE DOG TRAINING, LLC",1005693,2010-05-25,Active,Domestic Limited Liability Company,48 PORTERS HILL ROAD,TRUMBULL,CT,06611
BERKELEY'S DAPPER DOG LLC,1170432,2015-03-16,Active,Domestic Limited Liability Company,505 MAIN ST,DANIELSON,CT,06239
"BE THE DOG, LLC",0969737,2009-04-24,Active,Domestic Limited Liability Company,12 ROBERT DRIVE,COLUMBIA,CT,
BETTER WITH DOGS LLC,0937233,2008-05-05,Active,Domestic Limited Liability Company,72 MORGAN ST.,EAST HAVEN,CT,06512
BEYOND BORDERS DOG TRAINING LLC,0969470,2009-04-22,Active,Domestic Limited Liability Company,208 CRONIN STREET,BRISTOL,CT,06010
"BIG DOG CONSTRUCTION, LLC",0961681,2009-01-30,Active,Domestic Limited Liability Company,101 PHILLIPS ROAD,LISBON,CT,06351
"BIG DOG CONTRACTING, LLC",0765115,2003-11-10,Active,Domestic Limited Liability Company,2 NOROTON ROAD,NEW FAIRFIELD,CT,06812
"BIG DOG ENTERPRISES, LLC",0616706,1999-03-22,Active,Domestic Limited Liability Company,129 OLD HYDE RD.,WESTON,CT,06883
BIG DOG ENTERTAINMENT LLC,0841747,2005-12-05,Active,Domestic Limited Liability Company,24 WHITING ST.,PLAINVILLE,CT,06062
"BIG DOG FRAMING, L.L.C.",0715339,2002-05-20,Active,Domestic Limited Liability Company,1374 CHAMBERLAIN HIGHWAY,BERLIN,CT,06037
"BIG DOG & HAT, LLC",0585574,1998-03-10,Active,Domestic Limited Liability Company,232 HURD ST,FAIRFIELD,CT,06824
"BIG DOG LAND SERVICES, LLC",1027195,2011-01-27,Active,Domestic Limited Liability Company,"18 QUARRY RD, 18 QUARRY RD, 18 QUARRY RD",WATERFORD,CT,06385
BIG DOG LLC,1146807,2014-07-18,Active,Domestic Limited Liability Company,155 KILLIAN AVE,TRUMBULL,CT,06611
"BIG DOG MANAGEMENT, LLC",1081324,2012-08-23,Active,Domestic Limited Liability Company,65 WALNUT ROAD,ROCKY HILL,CT,06067
"BIG DOG MEATS, LLC",0542328,1996-08-08,Active,Domestic Limited Liability Company,85 PRINDLE RD.,WEST HAVEN,CT,06516
"BIG DOG PARTNERS, LLC",0848353,2006-02-02,Active,Domestic Limited Liability Company,33 HERMANN LANE,EASTON,CT,06612
"BIG DOG TRUCKING, LLC",0890365,2007-02-28,Active,Domestic Limited Liability Company,817 CARRINGTON RD,BETHANY,CT,06524
BIG WHITE DOG CONSTRUCTION LLC,1043173,2011-07-14,Active,Domestic Limited Liability Company,"140 BEACHVIEW AVENUE, #284",BRIDGEPORT,CT,06605
BIRD DOG LIQUORS LLC,0531329,1996-02-23,Active,Domestic Limited Liability Company,1019 STAFFORD RD.,STORRS,CT,06268
"BIRD DOG, LLC",0804079,2004-12-07,Active,Domestic Limited Liability Company,89 MAYO AVE,GREENWICH,CT,06830
"BK'S BURGERS & DOGS, LLC",0978629,2009-07-29,Active,Domestic Limited Liability Company,"80 CLAUDIA DRIVE, UNIT 265",WEST HAVEN,CT,06516
BLACK DOG AERO SERVICES LLC,1047907,2011-09-09,Active,Domestic Limited Liability Company,65 SEABREEZ DR.,STRATFORD,CT,06614
"BLACK DOG BAR & GRILLE, LLC",1195661,2016-01-22,Active,Domestic Limited Liability Company,143 BOSTON POST ROAD,N. WINDHAM,CT,06256
"BLACK DOG BUILDERS, LLC",0524064,1995-10-17,Active,Domestic Limited Liability Company,139 HORSE FENCE HILL RD,SOUTHBURY,CT,06488
"BLACK DOG ENTERPRISES, INC.",0221828,1988-09-12,Active,Corporation,265 MOHEGAN ROAD,SHELTON,CT,06484
BLACK DOG ESTATES LLC,1155057,2014-09-18,Active,Domestic Limited Liability Company,242 HUBBARD ST,GLASTONBURY,CT,06033
"BLACK DOG FINANCIAL GROUP, LLC",0896223,2007-04-16,Active,Domestic Limited Liability Company,93 SPENCER PLAIN RD,OLD SAYBROOK,CT,06475
"BLACK DOG FORESTRY, LLC",0819920,2005-04-29,Active,Domestic Limited Liability Company,44 HEATHER LANE,NORTH GRANBY,CT,06060
"BLACK DOG FUEL, LLC",0789485,2004-07-02,Active,Domestic Limited Liability Company,148 CANDLEWOOD MOUNTAIN RD.,NEW MILFORD,CT,06776
"BLACK DOG HOME IMPROVEMENT, LLC",1140837,2014-04-30,Active,Domestic Limited Liability Company,10 BEACH DRIVE,DANBURY,CT,06811
"BLACK DOG IMAGING, LLC",1074596,2012-06-07,Active,Domestic Limited Liability Company,5 ROOSEVELT AVENUE,MYSTIC,CT,06355
"BLACK DOG, LLC",0792804,2004-09-22,Active,Domestic Limited Liability Company,5 GREEN LANE,GREENWICH,CT,06830
BLACK DOG MARINE SURVEYORS AND CONSULTANTS L.L.C.,0647557,2000-03-29,Active,Domestic Limited Liability Company,34 LYME ST.,OLD LYME,CT,06371
"BLACK DOG MEDIA, LLC",0642186,2000-02-01,Active,Domestic Limited Liability Company,"639 SUMMER ST., #24",STAMFORD,CT,06901
"BLACK DOG PROPERTIES, LLC",0846658,2006-01-19,Active,Domestic Limited Liability Company,37 WOODING STREET,BRISTOL,CT,06010
BLACK DOG PROPERTY MANAGEMENT LLC,1052218,2011-10-26,Active,Domestic Limited Liability Company,89 PUMPKIN HILL RD.,NEW MILFORD,CT,06776
BLACK DOG PROPERTY SERVICES LLC,1181559,2015-07-21,Active,Domestic Limited Liability Company,115 BELGIAN CIRCLE,BRISTOL,CT,06010
"BLACK DOG QUADS, LLC",0753948,2003-07-08,Active,Domestic Limited Liability Company,11 SWEET MEADOW RD,NEWTOWN,CT,06470
"BLACK DOG RECORDING, LLC",0851343,2006-03-02,Active,Domestic Limited Liability Company,14 HORIZON COURT,MONROE,CT,06468
"BLACK DOG REMODELING, LLC",0654739,2000-06-19,Active,Domestic Limited Liability Company,260 FOX HILL ROAD,STRATFORD,CT,06614
"BLACK DOG RENTALS, LLC",1077272,2012-07-06,Active,Domestic Limited Liability Company,18 PETERS ROAD,BOZRAH,CT,06334
"BLACK DOG RENTALS TWO, LLC",1091354,2012-12-10,Active,Domestic Limited Liability Company,18 PETERS RD,BOZRAH,CT,06334
"BLACK DOGS, LLC",0963958,2009-02-23,Active,Domestic Limited Liability Company,2 CROSS STREET,GROTON,CT,06340
"BLACK DOG SPIRITS, LLC",0674525,2001-02-23,Active,Domestic Limited Liability Company,1155 EAST PUTNAM AVE.,RIVERSIDE,CT,06878
"BLIND DOG RESCUE ALLIANCE, INC.",1164784,2014-12-29,Active,Corporation,3 HIGH RIDGE RD,SEYMOUR,CT,06483
"BLUE DOG ENTERPRISES, LLC",1050266,2011-10-05,Active,Domestic Limited Liability Company,172 PERCIVAL DRIVE,CHESHIRE,CT,06410
BLUE DOG FARM LLC,1155021,2014-09-18,Active,Domestic Limited Liability Company,242 HUBBARD ST,GLASTONBURY,CT,06033
BLUE DOG HOME IMPROVEMENTS LLC,0779648,2004-03-29,Active,Domestic Limited Liability Company,7 TEACHERS RIDGE RD.,SANDY HOOK,CT,06482
BLUE DOG INVESTMENTS LLC,0951750,2008-10-07,Active,Foreign Limited Liability Company,"ONE CUSTOM HOUSE ST, SUITE 4",PROVIDENCE,RI,02903
"BONE-AFIDE DOG TRAINING, LLC",0807149,2005-01-10,Active,Domestic Limited Liability Company,"15 OLD TOWN RD.,, BONE-AFIDE DOG TRAINING",RIDGEFIELD,CT,06877
"BRIGHT SPOT THERAPY DOGS, INC.",0792594,2004-08-05,Active,Corporation,282 NORTH ROAD,WESTHAMPTON,MA,01027
"BROTHERS OF THE DOG, LLC",0534835,1996-04-09,Active,Domestic Limited Liability Company,18 FEDERAL RD.,DANBURY,CT,06810
"BROWN DOG COMMUNICATIONS, LLC",1065335,2012-03-12,Active,Domestic Limited Liability Company,745 WESTFORD ROAD,ASHFORD,CT,06278
"BROWN DOG EXCAVATION, LLC",1022043,2010-12-01,Active,Domestic Limited Liability Company,190 CANTERBURY ROAD,BROOKLYN,CT,06234
"BROWN DOG GC, LLC",0673083,2001-02-05,Active,Domestic Limited Liability Company,33 STONYBROOK ROAD,NORWALK,CT,06851
BROWN DOG LLC,1181842,2015-07-24,Active,Domestic Limited Liability Company,"180 FLANDERS RD, UNIT 1",NIANTIC,CT,06357
"BROWN DOG PROPERTIES, LLC",1183473,2015-08-13,Active,Domestic Limited Liability Company,100 MIGEON AVE,LITCHFIELD,CT,06759
"BRUJO DOGS, LLC",1195775,2016-01-25,Active,Domestic Limited Liability Company,20 E. NORMANDY DR,WEST HARTFORD,CT,06107
BUDDHA DOG INC,1113049,2013-07-16,Active,Corporation,,,,
"BULL DOG 132, LLC",1040572,2011-06-09,Active,Domestic Limited Liability Company,6 WOODY CREST,WEST HAVEN,CT,06516
"BULL DOG 36, LLC",1029931,2011-02-24,Active,Domestic Limited Liability Company,6 WOODY CREST,WEST HAVEN,CT,06516
"BULL DOG 87, LLC",1040571,2011-06-09,Active,Domestic Limited Liability Company,6 WOODY CREST,WEST HAVEN,CT,06516
"BULL DOG PACKAGING AND SHIPPING, LLC",0661382,2000-09-15,Active,Domestic Limited Liability Company,45 HIGH ST.,NEW HAVEN,CT,06510
"BURGER DOG, LLC",0863617,2006-06-16,Active,Domestic Limited Liability Company,330 PEQUONNOCK STREET,BRIDGEPORT,CT,06604
BUSTER'S HOT DOGS LLC,1063838,2012-02-29,Active,Domestic Limited Liability Company,142 BERLIN AVE,SOUTHINGTON,CT,06489
"CANINE LOVE DOG TRAINING, LLC",1179940,2015-06-30,Active,Domestic Limited Liability Company,12 BEAR DEN ROAD,TRUMBULL,CT,06611
"CENTRAL CONNECTICUT BIRD DOG CLUB, INCORPORATED THE",0097204,1961-02-27,Active,Corporation,17 DUNDEE CIRCLE,HARWICH,MA,02645
CHAMPION DOGS FRANCHISE CORPORATION,0284145,1993-03-29,Active,Corporation,"108 GREENWOOD AVENUE, PO BOX 849",BETHEL,CT,06801
"CHESHIRE DOG PARK, INC.",0979871,2009-08-10,Active,Corporation,223 WOOD POND RD.,CHESHIRE,CT,06410
"CHESHIRE DOG TRAINING CLUB, INC.",0052610,1974-10-08,Active,Corporation,"JOHN J. LANG, 669 NORTH ELM ST.",WALLINGFORD,CT,06492
CLEAN CATS AND DIRTY DOGS LLC,1038687,2011-05-24,Active,Domestic Limited Liability Company,"12 CAMELOT DR, F-3, F-3",NORWALK,CT,06850
"CONEY ISLAND HOT DOGS, INC.",0247938,1990-05-10,Active,Corporation,7251 WEST SAHARA AVENUE,LAS VEGAS,NV,89117
"CONFIDENT CANINE DOG TRAINING, LLC",1167360,2015-02-19,Active,Domestic Limited Liability Company,849 MAIN STREET,MONROE,CT,06468
CONNECTICUT DOG LLC,1197697,2016-01-27,Active,Domestic Limited Liability Company,190 GUNGY RD,SALEM,CT,
"CONNECTICUT DOG RUNNERS, LLC",0947070,2008-08-15,Active,Domestic Limited Liability Company,33 CHESTERFIELD ROAD,WETHERSFIELD,CT,06109
"CONNECTICUT FEDERATION OF DOG CLUBS AND RESPONSIBLE DOG OWNERS, INC.",0283586,1993-02-18,Active,Corporation,"369 WEST MAIN STREET, SUITE 2",AVON,CT,06001
CONNECTICUT POLICE WORK DOG ASSOCIATION INC.,0719147,2002-06-27,Active,Corporation,596 VAUXHALL STREET EXTENSION,WATERFORD,CT,06385
"CONNECTICUT SCHOOL OF DOG GROOMING, LLC",0715100,2002-05-15,Active,Domestic Limited Liability Company,117 WASHINGTON AVENUE,NORTH HAVEN,CT,06473
"CONTINENTAL DOG GROOMING SALON, LLC",0747652,2003-05-19,Active,Domestic Limited Liability Company,477 MAIN STREET,MONROE,CT,06468
COVE DOG LLC,1039055,2011-05-26,Active,Foreign Limited Liability Company,"2711 CENTERVILLE ROAD, SUITE 400",WILMINGTON,DE,19808
CREATIVE DOGS LLC,0785508,2004-05-21,Active,Domestic Limited Liability Company,"201 SOUTH ROAD, P.O. BOX 129",WINCHESTER CENTER,CT,06094
"CT RIVER DOGS BASEBALL CLUB, LLC",1114026,2013-07-29,Active,Domestic Limited Liability Company,8 WOODCHUCK COURT,NORWALK,CT,06854
DAILY DOGS LLC,1026276,2011-01-20,Active,Domestic Limited Liability Company,88 WARD ST,NAUGATUCK,CT,06770
"DANCIN DOGS, LLC",0949681,2008-09-15,Active,Domestic Limited Liability Company,308 CANDLEWYCK DRIVE,NEWINGTON,CT,06111
DANCING DOG FARM LLC,1152909,2014-08-20,Active,Domestic Limited Liability Company,140A MOPUS BRIDGE ROAD,RIDGEFIELD,CT,06877
DANDY DOGS LLC,0942747,2008-06-26,Active,Domestic Limited Liability Company,"255 ROUTE 12, SUITE 621",GROTON,CT,06340
"DAN'S DOG HOUSE, INC.",0237432,1989-08-21,Active,Corporation,112 LENOX STREET,NEW HAVEN,CT,06513
"DAPPER-N-DIVA DOGS, LLC",1077702,2012-07-11,Active,Domestic Limited Liability Company,127 ROWLAND RD,FAIRFIELD,CT,06824
"DAVE'S DOG HOUSE, LLC",1041876,2011-06-27,Active,Domestic Limited Liability Company,192 HAMILTON AVENUE,STAMFORD,CT,06902
DAVE'S HOT DIGGITY DOGS L.L.C.,0718317,2002-06-19,Active,Domestic Limited Liability Company,82 SBONA DR.,MIDDLETOWN,CT,06457
"DAYTRIPPING DOGS, LLC",0845387,2006-01-12,Active,Domestic Limited Liability Company,40 B SEMINARY STREET,NEW CANAAN,CT,06840
"D & D'S DOG WALKING/PET CARE, LLC",0550958,1996-12-31,Active,Domestic Limited Liability Company,242 KNICKERBOCKER AVE,STAMFORD,CT,06907
DEBRA SHORE DOG TRAINING LLC,0995018,2010-02-03,Active,Domestic Limited Liability Company,102 CLAPBOARD RIDGE ROAD,GREENWICH,CT,06830
"DEEP RIVER DOG HOUSE, LLC",1207555,2016-06-02,Active,Domestic Limited Liability Company,500  INDUSTRIAL PARK  RD.,DEEP RIVER,CT,06417
"DEVIL DOG DAY CARE, LLC",1198864,2016-02-17,Active,Domestic Limited Liability Company,2A STONEGATE CIRCLE,BRANFORD,CT,06405
DI DI'S DOGS LLC,1043133,2011-07-12,Active,Domestic Limited Liability Company,89 BOULANGER AV,W. HARTFORD,CT,06110
DIGGITY DOG LLC,0972314,2009-05-20,Active,Domestic Limited Liability Company,31 POCONO LANE,DANBURY,CT,06810
DIGITAL DOG DESIGN LLC,0972921,2009-05-20,Active,Domestic Limited Liability Company,61 MILE HILL RD S.,NEWTOWN,CT,06470
DIOVANY HOT DOGS LLC,0979828,2009-08-11,Active,Domestic Limited Liability Company,280 SAYBROOK ST.,HTFD,CT,06106
"DIRT DOG EXCAVATION, L.L.C.",0819237,2005-04-22,Active,Domestic Limited Liability Company,"55 LAKEVIEW ST., P. O .BOX 524",THOMPSON,CT,06277
DIRTY DOG DO IT YOURSELF PET WASH & PAWSTRY SHOP LLC,0807820,2005-01-13,Active,Domestic Limited Liability Company,124 WEBSTER RIDGE,BERLIN,CT,06037
DIRTY DOGS LLC,0840517,2005-11-23,Active,Domestic Limited Liability Company,120 GOODWIN PL,STRATFORD,CT,06615
"DIVA DOGS, LLC",0762535,2003-10-14,Active,Domestic Limited Liability Company,670 MAIN ST. SOUTH,WOODBURY,CT,06798
"DIVINE DOGS, LLC",0762631,2003-10-15,Active,Domestic Limited Liability Company,31A HAMILTON COURT,STAMFORD,CT,06902
DIVINE DOGS OF CT LLC,0996070,2010-02-10,Active,Domestic Limited Liability Company,"123 SOUTH MAIN ST., SUITE 210",NEWTOWN,CT,06470
"DOG AS COPILOT, LLC",1156339,2014-10-02,Active,Domestic Limited Liability Company,8 HARNISH LANE,WALLINGFORD,CT,06492
"DOG BONES, LLC",0813654,2005-03-08,Active,Domestic Limited Liability Company,67 NEW LONDON TPKE,MYSTIC,CT,06355
"DOG BUTLER, LLC",1087072,2012-10-24,Active,Domestic Limited Liability Company,159 HILLTOP CIRCLE,TRUMBULL,CT,06611
DOG DAYS ADOPTION EVENTS INC.,1018018,2010-10-14,Active,Corporation,4 ABBOTTS LANE,BRANFORD,CT,06405
"DOG DAYS HOME IMPROVEMENT, LLC",0902896,2007-06-13,Active,Domestic Limited Liability Company,1970 MAIN STREET,EAST HARTFORD,CT,06108
"DOG DAYS OF WEST HARTFORD, LLC",0730681,2002-11-07,Active,Domestic Limited Liability Company,846 FARMINGTON AVE. RM. #9,WEST HARTFORD,CT,06119
"DOG DREAMS, INC.",0699912,2001-12-20,Active,Corporation,25 BRISCOE ROAD,LAKEVILLE,CT,06039
DOG ESSENTIALS LLC,0941878,2008-07-09,Active,Domestic Limited Liability Company,500 TALCOTTVILLE RD,VERNON,CT,06066
"DOG FACED BOY, LLC",0800270,2004-10-22,Active,Domestic Limited Liability Company,20 DEERFIELD AVE,MILFORD,CT,06460
"DOG FRIENDS OF STAMFORD, INC.",0954090,2008-11-04,Active,Corporation,48 UNION STREET #1C,STAMFORD,CT,06906
DOG GONE BEAUTIFUL MOBILE DOG GROOMING LLC,0938372,2008-05-15,Active,Domestic Limited Liability Company,76 TIMBERWOOD TRAIL,HAMDEN,CT,06514
"DOG GONE GOOSE CONTROL, LLC",0772026,2004-01-21,Active,Domestic Limited Liability Company,89 SOUTH RIVER ROAD,COVENTRY,CT,06238
"DOG GONE IT, LLC",1041272,2011-06-20,Active,Domestic Limited Liability Company,49 MALDEN STREET,WEST HAVEN,CT,06516
"DOG GONE RECOVERY, LLC",1151742,2014-08-11,Active,Domestic Limited Liability Company,244 FARMS VILLAGE ROAD,WEST SIMSBURY,CT,06049
"DOG GONE SMART'S CANINE CONTAINMENT SYSTEMS, LLC",0670957,2001-01-12,Active,Domestic Limited Liability Company,15 CROSS STREET,NORWALK,CT,06851
DOG GUARD LLC,0852709,2006-03-13,Active,Domestic Limited Liability Company,3 FLAT ROCK HILL ROAD,OLD LYME,CT,06371
