name,id,origin date,status,type,street,city,state,zip
"PAWSOME DOG, LLC",1107489,2013-05-20,Active,Domestic Limited Liability Company,151 ROCKWELL ROAD,BETHEL,CT,06801
"PENNEY'S HOT DOGS PLUS, LLC",0573523,1997-10-08,Active,Domestic Limited Liability Company,97 BARBERRY LANE,MERIDEN,CT,06451
PET DEGREE DOG TRAINING CENTER LLC,0920293,2007-11-28,Active,Domestic Limited Liability Company,"100 CORPORATE DRIVE, B101",TRUMBULL,CT,06611
"PETE'S DOG GEAR, LLC",0861520,2006-05-31,Active,Domestic Limited Liability Company,26 WILLIAMS DRIVE,PROSPECT,CT,06712
PHAT DAWGZ MOBILE DOG GROOMING LLC,1058095,2012-01-04,Active,Domestic Limited Liability Company,90 SPRING STREET,WINDSOR LOCKS,CT,06096
PITA'S PAWS: PET SITTING AND DOG WALKING LLC,1035347,2011-04-20,Active,Domestic Limited Liability Company,130 TERRYS PLAIN RD,SIMSBURY,CT,06070
"PLANET DOG FILMS, LLC",0659608,2000-09-06,Active,Domestic Limited Liability Company,182 FRONT ST,NEW HAVEN,CT,06513
PLR DOG TRAINING LLC,1205147,2016-05-03,Active,Domestic Limited Liability Company,1026 TOLLAND STREET,EAST HARTFORD,CT,06108
PLR DOG TRANSPORT LLC,1205148,2016-05-03,Active,Domestic Limited Liability Company,1026 TOLLAND STREET,EAST HARTFORD,CT,06108
"POLICE DOGS CENTRE CONNECTICUT, LLC",1125109,2013-11-15,Active,Domestic Limited Liability Company,50 HICKORY LANE,WEST HARTFORD,CT,06107
POOCHES & PAWS FOR CATS & DOGS LLC,0919134,2007-11-19,Active,Domestic Limited Liability Company,1 DAVENPORT PLACE,WLFD,CT,06492
"PORTUGUESE WATER DOG CLUB OF AMERICA, INC.",0058873,1976-05-21,Active,Corporation,822 E ROYAL RIDGE DRIVE,ORO VALLEY,AZ,85755
"POSH SPA FUR DOGS, LLC",1030659,2011-03-04,Active,Domestic Limited Liability Company,542 WEST HILL ROAD,STAMFORD,CT,06902
PREMIER YOUR DOG FENCE COMPANY,1016890,2010-10-01,Active,Corporation,3 MAIN ST.,TERRYVILLE,CT,06786
PRETTY GOOD DOGS LLC,0816199,2005-03-30,Active,Domestic Limited Liability Company,191 AUBURN ROAD,WEST HARTFORD,CT,06119
"P.U.P. DOG SERVICES, LLP",0932504,2008-03-24,Active,Domestic Limited Liability Partnership,16 SOREL DR,SHELTON,CT,06484
"PURPLE DOG WEB PRODUCTIONS, LLC",0770110,2004-01-05,Active,Domestic Limited Liability Company,13 BEECH TREE RIDGE,KILLINGWORTH,CT,06419
RAMBLING DOG PUBLICATIONS LLC,0879442,2006-11-17,Active,Domestic Limited Liability Company,229 MILE COMMON RD,EASTON,CT,06612
"RAW DOGS, LLC",0835067,2005-09-27,Active,Domestic Limited Liability Company,78B MICHAEL RD,NEW LONDON,CT,06320
"RED DOG COMPANY, LLC",0650899,2000-05-08,Active,Domestic Limited Liability Company,195 SOUND BEACH AVENUE,OLD GREENWICH,CT,06870
"RED DOG DEVELOPMENT, INC.",0675886,2001-03-13,Active,Corporation,,,,
RED DOG ESTATES LLC,1157891,2014-10-22,Active,Domestic Limited Liability Company,242 HUBBARD STREET,GLASTONBURY,CT,06033
"RED DOG INVESTMENTS, LLC",0791055,2004-07-19,Active,Domestic Limited Liability Company,71 STONY CREEK RD.,BRANFORD,CT,06405
"RED DOG MARKETING, INC.",1021081,2010-11-18,Active,Corporation,,,,
"RED DOG REALTY, INC.",1141616,2014-04-24,Active,Corporation,18 COUNTRY CLUB DRIVE,WESTFIELD,MA,01085
"RED DOG SALOON CAFE, INC.",0174211,1985-09-17,Active,Corporation,222 MERIDEN ROAD,MIDDLEFIELD,CT,06455
"RED DOG WOOD, LLC",0655332,2000-06-27,Active,Domestic Limited Liability Company,249 SPENCER ST.,MANCHESTER,CT,06040
"REIGNING CATS N' DOGS, LLC",0948353,2008-08-27,Active,Domestic Limited Liability Company,679 WEST MAIN STREET,BRANFORD,CT,06405
"RELISH MY HOT DOG, LLC",0977565,2009-07-14,Active,Domestic Limited Liability Company,4 COLD SPRING ROAD,WEST HAVEN,CT,06516
"RESCUE DOG REALTY, LLC",1154533,2014-09-15,Active,Domestic Limited Liability Company,1190 MARION AVENUE,MARION,CT,06444
"RESCUE DOG VILLAGE GUARDIAN, INC.",1151326,2014-08-05,Active,Corporation,5 WEBSTER DRIVE 1,PRESTON,CT,06365
RICHIE'S HOT DOG'S LLC,1212712,2016-07-25,Active,Domestic Limited Liability Company,1947 BROAD ST,HARTFORD,CT,06114
"RIDGEFIELD DOG SPA, LLC",1148195,2014-07-09,Active,Domestic Limited Liability Company,"37 DANBURY RD., STE. 103",RIDGEFIELD,CT,06877
"RIVER DOG MUSIC FESTIVAL, LLC",0907309,2007-07-23,Active,Domestic Limited Liability Company,56 MIDDLESEX AVENUE,CHESTER,CT,06412
RIVER DOG PRINTS LLC,0950445,2008-09-23,Active,Domestic Limited Liability Company,50 FORGE DR,AVON,CT,06001
"ROAD DOG GYM, INC.",0510488,1995-01-18,Active,Corporation,15 OLD HARTFORD RD.,COLCHESTER,CT,06415
"SALTWATER DOG RESCUE, INC.",1112011,2013-07-03,Active,Corporation,17 HARMONY HILL ROAD,HARWINTON,CT,06791
"SALTY DOG, INC.",0603705,1998-10-01,Active,Corporation,130 SHORE DRIVE,BRANFORD,CT,06405
"SALTY DOG SALOON, LLC",0823935,2005-06-07,Active,Domestic Limited Liability Company,29 CENTER STREET,NEW HAVEN,CT,06510
"SALTY RED DOG MARKETING, LLC",1204824,2016-04-28,Active,Domestic Limited Liability Company,"188 FLAX HILL ROAD, UNIT B1",NORWALK,CT,06854
SARA GREGWARE PROFESSIONAL DOG HANDLING & TRAINING LLC,0836104,2005-10-07,Active,Domestic Limited Liability Company,46 ROCK HOUSE RD,GOSHEN,CT,06756
"SAVE ME A SPOT! DOG RESCUE, INC.",0963611,2009-02-20,Active,Corporation,57 QUARRY ROAD,GRANBY,CT,06035
"SAVVYSNOOTS DOG TRAINING, LLC",1058470,2012-01-12,Active,Domestic Limited Liability Company,"26 BELDEN AVE., #2427",NORWALK,CT,06850
SEA DOG BREWING CO.,0521306,1995-08-25,Active,Corporation,26 FRONT ST,BANGOR,ME,04401
"SEA DOG REALTY, LLC",0706654,2002-02-26,Active,Domestic Limited Liability Company,"106 MASON ISLAND ROAD, 106 MASONS ISLAND ROAD, 106 MASONS ISLAND ROAD",MYSTIC,CT,06355
"SEA WORTHY DOGS, INC.",1201855,2016-03-30,Active,Corporation,165 SHADBUSH DR.,COLCHESTER,CT,06415
"SECRET LAKE DOG TRAINING, LLC",0787019,2004-06-07,Active,Domestic Limited Liability Company,35 LAKEVIEW BLVD,AVON,CT,06001
"SHAVE AND A HAIRCUT MOBILE DOG GROOMING, LLC",0885821,2007-01-19,Active,Domestic Limited Liability Company,98 TWIN POND ROAD,THOMASTON,CT,06787
"SICK AS A DOG, INC.",0277253,1992-09-08,Active,Corporation,60 LEACH HOLLOW RD.,SHERMAN,CT,06784
SILENT DOG ENTERPRISES LLC,1044951,2011-08-03,Active,Domestic Limited Liability Company,"597 WESTPORT AVENUE, APT. B541",NORWALK,CT,06851
"SIRIUS POSITIVE DOG TRAINING, LLC",1211578,2016-07-01,Active,Domestic Limited Liability Company,22 STILL HILL ROAD,SANDY HOOK,CT,06482
"SIT & STAY DOG GROOMING, LLC",0923427,2008-01-03,Active,Domestic Limited Liability Company,1387 MIDDLETOWN AVE.,NORTHFORD,CT,06472
"SKINLESS DOGS, LLC",1066530,2012-03-26,Active,Domestic Limited Liability Company,400 HOLLISTER STREET,STRATFORD,CT,06615
"SLEEPING DOGS ASSOCIATES, LLC",0663265,2000-10-11,Active,Domestic Limited Liability Company,535 NORTH STREET,GREENWICH,CT,06830
SMART DOG LLC,0557495,1997-03-03,Active,Domestic Limited Liability Company,1310 COUNTRY CLUB RD,MIDDLETOWN,CT,06457
"SMILING DOG PET SERVICES, LLC",0968092,2009-04-08,Active,Domestic Limited Liability Company,356 CHILD ROAD,WOODSTOCK,CT,06281
"SMILING DOGS TRAINING, LLC",1048882,2011-09-20,Active,Foreign Limited Liability Company,41 STATE PLACE,HUNTINGTON,NY,11743
"SNOW DOG ENTERPRISES, LLC",0721532,2002-07-29,Active,Domestic Limited Liability Company,"2 MANSFIELD GROVE RD, #362",EAST HAVEN,CT,06512
SNOW DOGS LLC,0874865,2006-10-04,Active,Domestic Limited Liability Company,"120 GOODWIN PLACE, 120 GOODWIN PLACE",STRATFORD,CT,06615
"SOUTHERN BERKSHIRE AGILITY DOGS, INC.",0666227,2000-11-16,Active,Corporation,,,,
"SPOTTY DOG RESCUE, INC.",1082334,2012-09-04,Active,Corporation,212 LYMAN ROAD,WOLCOTT,CT,06716
"SPRUCE BROOK BIRD DOG CLUB INCORPORATED, THE",0060126,1959-03-17,Active,Corporation,215 OAK ST,WINSTED,CT,06098
"STADIUM DOG, LLC",0939168,2008-05-23,Active,Domestic Limited Liability Company,366 FARMINGTON AVENUE,NEW BRITAIN,CT,06053
STEVE'S TOP DOG LLC,0958601,2009-01-02,Active,Domestic Limited Liability Company,175 BRACE AVE,BRISTOL,CT,06010
SUGAR AND SPICE DOG GROOMING & BAKERY LLC,1161220,2014-11-18,Active,Domestic Limited Liability Company,14 MAIN STREET,COLCHESTER,CT,06415
SUSIE'S DOG GROOMING LLC,0678884,2001-04-12,Active,Domestic Limited Liability Company,"560 FOREST RD, UNIT C",WEST HAVEN,CT,
SWAMP DOG HOLLOW LLC,1146590,2014-06-19,Active,Domestic Limited Liability Company,382 BAILEYVILLE ROAD,MIDDLEFIELD,CT,06455
"TAILS R WAGGIN DOG GROOMING, LLC",0994983,2010-02-03,Active,Domestic Limited Liability Company,36 FEDERAL RD,DANBURY,CT,06810
TALKIN DOG LLC,0935487,2008-04-17,Active,Foreign Limited Liability Company,88 HILLTOP DR.,CHARLESTOWN,RI,02813
TAYLOR'S MADE HOT DOGS LLC,1149956,2014-07-23,Active,Domestic Limited Liability Company,740 N. WASHINGTON AVE.,BRIGEPORT,CT,06604
T DOG TRUMBULL CORP,1022682,2010-12-09,Active,Corporation,55 QUAIL TRAIL,TRUMBULL,CT,06611
TEAM BAD DOG LLC,0847451,2006-01-31,Active,Domestic Limited Liability Company,27 HAVILAND DRIVE,STAMFORD,CT,06903
"TEDDY'S DOG HOUSE, LLC",0914517,2007-10-03,Active,Domestic Limited Liability Company,171 RIDGEFIELD DRIVE,MIDDLETOWN,CT,06457
"TEXAS CHILI DOG, INC.",0263184,1991-07-22,Active,Corporation,19-21 ATLANTIC ST,STAMFORD,CT,06901
"THANK DOG RESCUE, INC.",1107411,2013-05-21,Active,Corporation,72 RIVERSIDE RD,SANDY HOOK,CT,06482
"THAT'S A GOOD DOG, LLC",1130783,2014-01-17,Active,Domestic Limited Liability Company,"110 BROOKWOOD ROAD, 110 BROOKWOOD DR",WESTBROOK,CT,06498
"THE BETHEL HOT DOG PALACE, LLC",0918622,2007-11-09,Active,Domestic Limited Liability Company,44 STONY HILL ROAD,BETHEL,CT,06801
THE BETTER DOG NETWORK LLC,1128087,2013-12-20,Active,Domestic Limited Liability Company,19 OLD KINGS HIGHWAY SOUTH,DARIEN,CT,06820
"THE BIRD DOG TAVERN, LLC",1202266,2016-04-05,Active,Domestic Limited Liability Company,645 SULLIVAN AVE.,SOUTH WINDSOR,CT,06074
"THE BLUE DOG COMPANY, LLC",0611138,1999-01-12,Active,Domestic Limited Liability Company,739 PROSPECT AVENUE,WEST HARTFORD,CT,06105
"THE BLUES DOG ENTERPRISES, LLC",0999330,2010-03-17,Active,Domestic Limited Liability Company,"33 FELLOWS ROAD #3, PO BOX 274",OAKDALE,CT,06370
"THE BO-BO DOG, INC.",0576659,1997-11-25,Active,Corporation,18 FEDERAL RD,DANBURY,CT,
"THE CANINE CONNECTION DOG TRAINING, LLC",0721989,2002-08-12,Active,Domestic Limited Liability Company,194 BRIDGEPORT AVENUE,MILFORD,CT,06460
"THE CHESHIRE CAT AND DOG TOO, LLC",0965015,2009-03-05,Active,Domestic Limited Liability Company,1320 WATERBURY ROAD,CHESHIRE,CT,06410
"THE COUNTRY DOG, LLC",0882253,2006-12-18,Active,Domestic Limited Liability Company,18 AUBURN STREET,NORWALK,CT,06854
THE DAPPER DOG LLC,0959284,2009-01-23,Active,Domestic Limited Liability Company,564 MAIN ST. S.,BETHLEHEM,CT,06751
THE DOG CABIN LLC,0891642,2007-03-12,Active,Domestic Limited Liability Company,150 BERLIN ST.,MIDDLETOWN,CT,06457
"THE DOG ESCAPE, INC.",0752924,2003-06-26,Active,Corporation,,,,
THE DOG HAUSS L.L.C.,1180335,2015-07-06,Active,Domestic Limited Liability Company,32 MOUNTAIN VIEW DR.,ROCKY HILL,CT,06067
"THE DOG HOUSE I, INC.",0681256,2001-05-11,Active,Corporation,120 D HALE ROAD,MANCHESTER,CT,06040
"THE DOG HOUSE - PET GROOMING, LLC",0500407,1994-02-24,Active,Domestic Limited Liability Company,"560 FOREST RD, UNIT C",WEST HAVEN,CT,06516
"THE DOG NANNIES & CO., LLC",1097218,2013-02-01,Active,Domestic Limited Liability Company,1366 HOPE STREET,STAMFORD,CT,06907
THE DOG S'PAW LLC,1094045,2013-01-10,Active,Domestic Limited Liability Company,568 B TORRINGTON ROAD,LITCHFIELD,CT,06759
"THE DOG SPOT ACADEMY, LLC",0995791,2010-02-09,Active,Domestic Limited Liability Company,37 WOODBRIDGE ROAD,GLASTONBURY,CT,06033
THE DOG WIZARD LLC,0979930,2009-08-10,Active,Domestic Limited Liability Company,53 SOUTH ST.,EAST HAVEN,CT,06512
"THE GRATEFUL DOG GROOMING SALON, LLC",1152385,2014-08-19,Active,Domestic Limited Liability Company,98 MAIN ST,SEYMOUR,CT,06483
"THE GRATEFUL DOG, LLC",0707872,2002-03-07,Active,Domestic Limited Liability Company,6 GLEN HILL ROAD,REDDING,CT,06896
THE GREAT AMERICAN HOT DOG CO. L.L.C.,0622562,1999-06-03,Active,Domestic Limited Liability Company,31 HARMONY STREET,EAST HARTFORD,CT,06108
"THE HAPPIEST DOG ON THE BLOCK, L.L.C.",0892647,2007-03-19,Active,Domestic Limited Liability Company,11 OAK DRIVE,NORTHFORD,CT,06472
"THE HAUTE DOG HOTEL, LLC",0948308,2008-08-29,Active,Domestic Limited Liability Company,217 BACON POND RD.,WOODBURY,CT,06798
THE HOT DOG SPOT LLC,0902949,2007-06-13,Active,Domestic Limited Liability Company,253 RIDGEWOOD RD,EAST HARTFORD,CT,06118
THE KNOTTY DOG LLC,1177221,2015-06-26,Active,Domestic Limited Liability Company,"362 S. MAIN ST., APT. 211",TORRINGTON,CT,06790
"THE MILITARY ORDER OF DEVIL DOGS - CONNECTICUT PACK, INC.",0577135,1997-12-01,Active,Corporation,"GEORGE F. GUTMANN JR, 2 SHARON CT",SHELTON,CT,06484
THE MODERN DOG LLC,0982000,2009-09-04,Active,Domestic Limited Liability Company,690 BOSTON POST RD,MADISON,CT,06443
"THE NATURAL DOG SALON, LLC",1144685,2014-05-27,Active,Domestic Limited Liability Company,42A MIRY BROOK RD,DANBURY,CT,06810
"THE NEW DOG GROUP, LLC",1086605,2012-10-15,Active,Domestic Limited Liability Company,166 ALBANY TURNPIKE,CANTON,CT,06019
"THE NOBLE DOG DRIVE-IN, LLC",0737907,2003-01-27,Active,Domestic Limited Liability Company,2 MARVIN PLACE,WESTPORT,CT,06880
"THE SPOTTED DOG GALLERY, LLC",0995634,2010-02-08,Active,Domestic Limited Liability Company,9 APPLEWOOD LANE,CORNWALL BRIDGE,CT,06754
THE STELLAR DOG LLC,1064468,2012-03-02,Active,Domestic Limited Liability Company,80 COUNTRY LANE #2,VERNON,CT,06066
THE TOTAL DOG NETWORK LLC,1016163,2010-09-27,Active,Domestic Limited Liability Company,157 CHEESESPRING RD,WILTON,CT,06897
"THE WELL-MANNERED DOG, INC.",0899695,2007-05-16,Active,Corporation,,,,
"THE WISE OLD DOG, LLC",1044755,2011-08-01,Active,Domestic Limited Liability Company,610 QUAKER LANE SOUTH,WEST HARTFORD,CT,06110
THIRSTY DOG BREWING COMPANY,1191302,2015-11-19,Active,Corporation,529 GRANT STREET,AKRON,OH,44311
"THOSE TWO DOGS, LLC",0918535,2007-11-09,Active,Domestic Limited Liability Company,31 APPLE LANE,REDDING,CT,06896
"THREE DOG KNIGHTS, LLC",1101896,2013-05-03,Active,Domestic Limited Liability Company,916 TOWNSEND AVE,NEW HAVEN,CT,06512
"THREE DOGS LANDSCAPING, LLC",1210742,2016-07-12,Active,Domestic Limited Liability Company,"119 FRENCH ROAD, 119 FRENCH ROAD",BOLTON,CT,06043
"THREE DOG TRADING, L.L.C.",0581845,1998-01-28,Active,Domestic Limited Liability Company,71 STONEHEDGE DR.,S. GREENWICH,CT,06831
"TIDY TAILS MOBILE DOG GROOMING, LLC",1207026,2016-05-24,Active,Domestic Limited Liability Company,33 YALE AVENUE,MIDDLEBURY,CT,06762
TLC DOG TRAINER LLC,1040801,2011-06-16,Active,Domestic Limited Liability Company,1 ALFREDSON LANE,SHERMAN,CT,06784
"TOLLGATE DOG GROOMING, LLC",0624739,1999-07-01,Active,Domestic Limited Liability Company,838 MAIN STREET,MONROE,CT,06468
"TOP DOG CANINE REHABILITATION AND FITNESS, LLC",0791269,2004-07-22,Active,Domestic Limited Liability Company,607 EAST MAIN ST.,MERIDEN,CT,06450
TOP DOG FOOD SERVICES L.L.C.,0621819,1999-05-24,Active,Domestic Limited Liability Company,351 MAIN STREET,EAST HARTFORD,CT,06118
"TOP DOG HOT DOG, LLC",1068050,2012-04-03,Active,Domestic Limited Liability Company,84 INGLESIDE DRIVE,STAMFORD,CT,06903
TOP DOG HOT DOGS LLC,0594652,1998-06-04,Active,Domestic Limited Liability Company,215 CLARK HILL ROAD,EAST HAMPTON,CT,06424
"TOP DOG INTERNATIONAL, INC.",0673809,2001-02-13,Active,Corporation,864 WHALLEY AVENUE,NEW HAVEN,CT,06515
TOP DOG LLP,1064767,2012-03-09,Active,Domestic Limited Liability Partnership,1105 RIVER RD,MYSTIC,CT,06355
TOP DOG OF CT LLC,0929943,2008-02-29,Active,Domestic Limited Liability Company,1230 WEST ST,SOUTHINGTON,CT,06489
"TOP DOG PET SERVICES, LLC",1049411,2011-09-26,Active,Domestic Limited Liability Company,93 HOMECREST DRIVE,BERLIN,CT,06037
TOP DOGS LLC,0780722,2004-04-07,Active,Domestic Limited Liability Company,23 WOPOWOG TR.,SHELTON,CT,06484
TOP DOG VENTURES LLC,0835472,2005-09-30,Active,Domestic Limited Liability Company,"C/O SHPRES KOLAJ, 24 SNIFFEN ROAD",ARMONK,NY,10504
"TOWN HOUSE FOR DOGS, LLC",0788423,2004-06-22,Active,Domestic Limited Liability Company,1040 POST RD. EAST,WESTPORT,CT,06880
"TWO DOGS, LLC",0540894,1996-07-26,Active,Domestic Limited Liability Company,471 EAST MAIN STREET,BRANFORD,CT,06405
"TWO RATS AND A DOG, LLC",1125728,2013-12-04,Active,Domestic Limited Liability Company,256 SILVER LANE,EAST HARTFORD,CT,06118
ULTIMATE DOG SPA & BOUTIQUE LLC,1022587,2010-12-06,Active,Domestic Limited Liability Company,9 ACADEMY STREET,SALISBURY,CT,06068
UNCLE O'S HOT DOGS LLC,1143087,2014-05-09,Active,Domestic Limited Liability Company,112 GREEN HILL TR,NEW HAVEN,CT,06515
"VALLEY DOG, LLC",1161361,2014-11-18,Active,Domestic Limited Liability Company,15 MILL POND DR,GRANBY,CT,06035
"VANCAR DOG COMPANY, LLC",1120874,2013-10-07,Active,Domestic Limited Liability Company,7 VANCAR ROAD,NEW MILFORD,CT,06776
VEGGIE DOGS LLC,0921043,2007-12-06,Active,Domestic Limited Liability Company,49 BARN HILL RD,MONROE,CT,06468
"VEST-A-DOG CONNECTICUT, INC.",0756965,2003-08-11,Active,Corporation,159 LYDALE PL.,MERIDEN,CT,06450
"VICTORY DOG FOOD, LLC",0898331,2007-04-27,Active,Domestic Limited Liability Company,"51 AMES HOLLOW ROAD, 51 AMES HOLLOW RD, 51 AMES HOLLOW RD",PORTLAND,CT,06480
"WAG DOG, LLC",1184569,2015-08-27,Active,Domestic Limited Liability Company,WEST CORNWALL RD.,WEST CORNWALL,CT,06796
WAG DOG WALKING & PETSITTING LLC,1201755,2016-03-28,Active,Domestic Limited Liability Company,328 WOODLAND ROAD,STORRS,CT,06268
"WAGGING TAILS DOG DAY CARE CENTER, LLC",0687699,2001-07-30,Active,Domestic Limited Liability Company,131 FRANKLIN STREET,NORWICH,CT,06360
"WAGGING WAYS DOG TRAINING, LLC",0870417,2006-08-21,Active,Domestic Limited Liability Company,553 NORTH WALNUT STREET,WATERBURY,CT,06704
WAGGIN TRAIN MOBILE DOG GROOMING LLC,0568397,1997-08-25,Active,Domestic Limited Liability Company,19 SCHOOL ST,SOMERSVILLE,CT,06072
"WALKIN DOGS, LLC",0657252,2000-07-24,Active,Domestic Limited Liability Company,69 SHADOW RIDGE RD.,STAMFORD,CT,06905
"WALLINGFORD DOG LOVERS ASSOCIATION, INC.",1119294,2013-09-17,Active,Corporation,47 CHRISTIAN ST.,WALLINGFORD,CT,06492
"WATCH DOG, INC.",0520848,1995-08-22,Active,Corporation,110 PODUNK ROAD,GUILFORD,CT,06437
"WE LET THE DOGS OUT, LLC",0727621,2002-10-01,Active,Domestic Limited Liability Company,4 SUNSET CIRCLE,GUILFORD,CT,06437
"WEST HARTFORD DOG PARK SUPPORT GROUP, INC.",1173349,2015-04-24,Active,Corporation,19 BISHOP RD,WEST HARTFORD,CT,06119
"WESTON DOG PARK, INC.",1206655,2016-05-05,Active,Corporation,,,,
"WHISKERS PET HOME DOG WALKING SERVICE, LLC",1061724,2012-02-09,Active,Domestic Limited Liability Company,315B NAVAJO LANE,STRATFORD,CT,06614
"WHITE DOG CAFE, LLC",1086733,2012-10-22,Active,Domestic Limited Liability Company,164 MAIN ST,PORTLAND,CT,06480
"WHITE DOG MARKETING SOLUTIONS, LLC",1175246,2015-05-14,Active,Domestic Limited Liability Company,17 STONEWALL LANE,MONROE,CT,06468
"WHITE DOG PROPERTY MAINTENANCE, L.L.C.",0824789,2005-06-13,Active,Domestic Limited Liability Company,12 KEN OAKS DRIVE,DANBURY,CT,06810
"WHITE DOG WOODWORKING, LLC",0855123,2006-04-03,Active,Domestic Limited Liability Company,199 WEST PEARL ROAD,TORRINGTON,CT,06790
WHO LET THE DOGS OUT L.L.C,0773568,2004-02-23,Active,Domestic Limited Liability Company,118 WALNUT GROVE RD,RIDGEFIELD,CT,06877
"WIDE WORLD DOG, LLC",1125562,2013-11-19,Active,Foreign Limited Liability Company,"2711 CENTERVILLE ROAD, SUITE 400",WILMINGTON,DE,19808
"WOBBLY DOG, INC.",0716189,2002-05-28,Active,Corporation,67 NEW LONDON TPKE.,STONINGTON,CT,06378
WORKING DOG LLC,1069861,2012-04-27,Active,Domestic Limited Liability Company,"211 POMEROY AVENUE, APT. 1217",MERIDAN,CT,06450
"YANKEE FLYERS DOG & DISC CLUB, INC.",1178915,2015-06-17,Active,Corporation,613 NORWICH ROAD,SALEM,CT,06420
YARD DOG HOME IMPROVEMENT LLC,0914105,2007-09-27,Active,Domestic Limited Liability Company,170 MALCOLM RD,WEST HAVEN,CT,06516
YARD DOG LAWNCARE LLC,0673762,2001-02-14,Active,Domestic Limited Liability Company,342 BURLINGTON AVE.,BRISTOL,CT,06010
"YELLOW DOG FILMS, LLC",0675238,2001-03-07,Active,Domestic Limited Liability Company,131 EAGLE ST.,NEW HAVEN,CT,06511
"YELLOW DOG GRILLE, LLC",0711338,2002-04-08,Active,Domestic Limited Liability Company,"33 VILLAGE GREEN DR, P.O. BOX 1629",LITCHFIELD,CT,06759
"YELLOW DOG HOLDINGS, LLC",0546509,1996-10-24,Active,Domestic Limited Liability Company,49 FARRELL ROAD,NEWTOWN,CT,06470
"YOU DIRTY DOG, INC.",0287784,1993-07-06,Active,Corporation,130 FILLOW ST # 3,NORWALK,CT,06850
"YOU DIRTY DOG OF DURHAM, LLC",0668377,2000-12-13,Active,Domestic Limited Liability Company,28-A MAIN STREET,DURHAM,CT,06422
YOU LUCKY DOG LLC,1113352,2013-07-22,Active,Domestic Limited Liability Company,"453 WASHINGTON AVE, UNIT C339",NORTH HAVEN,CT,06473
"YOUR DOG'S BEST FRIEND, LLC",0604624,1998-10-16,Active,Domestic Limited Liability Company,"68 LAKEVIEW AVENUE, UNIT #5",NEW CANAAN,CT,06840
